family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
predictions,fixed:number:21:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,184.0
predictions,fixed:number:21:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,149.0
predictions,fixed:number:21:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,148.0
predictions,fixed:number:22:pc28_high_regular,target100_bankroll,3,3,1,False,2,-100.0,-75.0,100.0,100.0
predictions,fixed:number:22:pc28_high_regular,target100_limit99,3,3,1,False,0,-99.0,-73.0,99.0,99.0
predictions,fixed:number:22:pc28_netdisk_regular,target100_bankroll,3,3,1,False,2,-100.0,-97.0,100.0,100.0
predictions,fixed:number:22:pc28_netdisk_regular,target100_limit99,3,3,1,False,0,-99.0,-95.0,99.0,99.0
predictions,fixed:number:23:pc28_high_regular,target100_bankroll,3,3,3,True,0,102.0,342.0,56.0,56.0
predictions,fixed:number:23:pc28_high_regular,target100_limit99,3,3,3,True,0,102.0,342.0,56.0,56.0
predictions,fixed:number:23:pc28_netdisk_regular,target100_bankroll,3,3,2,False,1,-100.0,147.0,100.0,191.0
predictions,fixed:number:23:pc28_netdisk_regular,target100_limit99,3,3,2,False,0,-99.0,148.0,99.0,190.0
predictions,fixed:number:24:pc28_high_regular,target100_bankroll,3,3,2,False,1,-100.0,168.0,100.0,172.0
predictions,fixed:number:24:pc28_high_regular,target100_limit99,3,3,2,False,0,-99.0,169.0,99.0,171.0
predictions,fixed:number:24:pc28_netdisk_regular,target100_bankroll,3,3,2,False,1,-100.0,112.0,100.0,144.0
predictions,fixed:number:24:pc28_netdisk_regular,target100_limit99,3,3,2,False,0,-99.0,113.0,99.0,143.0
